"filename", "language", "JavaScript", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\dhruv\trashteroidzip\README.md", "Markdown", 0, -28, 0, 0, 0, -8, -36
"c:\Users\dhruv\trashteroidzip\index.html", "HTML", 0, 0, -152, 0, -2, -19, -173
"c:\Users\dhruv\trashteroidzip\package.json", "JSON", 0, 0, 0, -20, 0, -1, -21
"c:\Users\dhruv\trashteroidzip\src\Player.js", "JavaScript", 0, 0, 0, 0, 0, -6, -6
"c:\Users\dhruv\trashteroidzip\vite.config.js", "JavaScript", -11, 0, 0, 0, 0, -2, -13
"Total", "-", -11, -28, -152, -20, -2, -36, -249
